Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Ketu Kosofe Ikosi Lagos,"1,500,000/year",  Added 30 Jan 2023 ," FOR RENT: Decent 3 bedroom flat in a serene and gated community, at key, Comes with; POP.. Read more ",,3 beds2 baths3 Toilets
Oko Fili Estate Opposite Ginti Bus Stop Ikorodu Lagos,"400,000/year",  Added 30 Jan 2023 , FOR RENT: 2 bedroom House for rent Oko Fili Estate Opposite Ginti Bus Stop Ikorodu Ikorodu.. Read more ,,2 beds2 baths3 Toilets
Chevron Lekki Lagos,"3,600,000/year",  Added 30 Jan 2023 ," FOR RENT: An Awesome 4 Bedroom apartment in Lakeview Park 2 Estate, come see.. Read more ",,4 beds4 baths5 Toilets
Jibowu Yaba Lagos,"750,000/year",  Added 30 Jan 2023 , FOR RENT: Decent Mini flat in igbobisabe street jibowu. Rent -750 Agent and agreement .. Read more ,,1 beds1 baths0 Toilets
Oduduwa Crescent Ikeja Lagos,"1,200,000/year",  Added 30 Jan 2023 ," FOR RENT: Mini flat in a very serene environment, with good water, prepaid meter and parki.. Read more ",Serviced,1 beds1 baths1 Toilets
Ikate Lekki Lagos,"8,000,000/year","  Updated 30 Jan 2023, Added 09 Jan 2023 ", FOR RENT: Ikate 3BED 8m per annum..Slightly negotiable Caution 500k Agenc.. Read more ,Newly Built,3 beds3 baths4 Toilets
Ajah Lagos,"75,000,000/year","  Updated 30 Jan 2023, Added 29 Dec 2022 ", FOR RENT: *BEAUTIFUL 4-BEDROOM SEMI-DETACHED DUPLEX WITH BQ - Beautifully Finished To Det.. Read more ,Newly Built,4 beds4 baths5 Toilets
Oniru Victoria Island Lagos,"10,000,000/year","  Updated 30 Jan 2023, Added 20 Dec 2022 ", FOR RENT: TO LET 5 BEDROOM DUPLEX Annual Rent: 10 million 2yrs payable Agent: 10% .. Read more ,Newly Built,5 beds5 baths6 Toilets
Parkview Estate Ikoyi Lagos,"5,000,000/year","  Updated 30 Jan 2023, Added 27 Jan 2023 "," FOR RENT: Location: Parkview Estate, Ikoyi Description: 3 bedroom flat with a room bq .. Read more ",ServicedNewly Built,3 beds3 baths0 Toilets
"Orchid Road, Ikota Lekki Lagos","5,000,000/year","  Updated 30 Jan 2023, Added 12 Dec 2022 ", FOR RENT: 4-Bedroom Fully Detached house with BQ Annual Rent: N5m Agency Fee: 10%.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Ikoyi Lagos,"16,000,000/year","  Updated 30 Jan 2023, Added 22 Dec 2022 ", FOR RENT: 5 BEDROOM TERRACE DUPLEX FOR RENT Price: N16m per annum Other Charges : .. Read more ,ServicedNewly Built,5 beds5 baths6 Toilets
Chevron Lekki Lagos,"3,500,000/year","  Updated 30 Jan 2023, Added 20 Dec 2022 ", FOR RENT: TO LET 4 BEDROOM TERRACE DUPLEX Annual Rent: N3.5m Agency Fee: 10% Le.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Lekki Phase 1 Lekki Lagos,"10,000,000/year","  Updated 30 Jan 2023, Added 10 Jan 2023 ", FOR RENT: 5 bedroom duplex with a bq Annual Rent: N10m Service Charge.. self servi.. Read more ,Newly Built,5 beds5 baths6 Toilets
